name,age,position,height,value,national_matches,national_goals,matches20,goals20,assists20,yellow20,double_yellows20,red20,matches21,goals21,assists21,yellow21,double_yellows21,red21,matches22,goals22,assists22,yellow22,double_yellows22,red22
azzedine-ounahi,23,Central Midfield,1.82,15000.0,17,2,30,6,1,5,0,0,33,2,2,2,0,0,24,1,0,1,0,0
baptiste-santamaria,28,Defensive Midfield,1.83,15000.0,3,0,34,1,2,6,0,0,47,2,2,8,0,0,30,3,0,3,0,0
desire-doue,18,Attacking Midfield,1.81,15000.0,4,1,0,0,0,0,0,0,13,1,1,1,0,0,34,4,1,7,0,0
krepin-diatta,24,Right Winger,1.75,15000.0,31,2,40,11,2,4,0,0,13,2,0,0,0,0,42,5,6,5,0,0
houssem-aouar,24,Central Midfield,1.75,15000.0,0,0,33,8,4,3,0,1,45,8,4,1,0,0,18,1,1,2,0,0
enzo-le-fee,23,Attacking Midfield,1.7,15000.0,7,3,37,0,5,6,0,0,38,2,3,2,0,0,36,6,5,5,0,0
gaetan-laborde,29,Centre-Forward,1.81,14000.0,5,0,43,18,9,3,0,0,47,20,8,4,0,0,48,18,4,0,0,0
jonathan-clauss,30,Right-Back,1.78,15000.0,6,0,35,3,7,2,0,0,40,5,11,3,0,0,42,2,12,2,0,0
corentin-tolisso,28,Central Midfield,1.81,14000.0,28,2,24,3,0,1,0,1,22,3,3,0,0,0,34,1,2,4,0,0
andre-gomes,29,Central Midfield,1.88,14000.0,29,0,32,0,2,4,0,0,19,1,2,6,0,0,27,3,2,6,0,0
amine-harit,25,Attacking Midfield,1.8,14000.0,16,0,31,2,6,3,0,0,34,5,4,4,0,0,16,1,3,1,0,0
habib-diallo,27,Centre-Forward,1.86,14000.0,16,3,36,9,3,2,0,0,33,12,2,3,0,0,38,20,1,2,1,0
neymar,31,Left Winger,1.75,70000.0,124,77,31,17,11,10,1,1,28,13,8,11,0,0,29,18,17,9,1,0
jordan-veretout,30,Defensive Midfield,1.77,14000.0,6,0,38,11,5,6,0,0,50,4,10,7,0,0,48,5,5,6,0,0
jonathan-david,23,Centre-Forward,1.75,60000.0,40,24,48,13,5,1,0,0,48,19,0,3,0,0,40,26,4,7,0,0
pau-lopez,28,Goalkeeper,1.89,14000.0,2,0,34,0,0,0,1,38,36,0,4,0,0,43,42,0,3,0,0,45
vitinha,23,Central Midfield,1.72,42000.0,9,0,23,1,1,0,0,0,47,4,5,6,0,0,48,2,4,4,0,0
diogo-costa,23,Goalkeeper,1.86,45000.0,11,0,12,0,1,0,0,17,43,0,2,0,0,38,41,0,1,0,0,30
goncalo-ramos,21,Centre-Forward,1.85,40000.0,7,4,24,15,3,3,0,0,46,8,4,9,0,0,47,27,12,5,1,0
pedro-goncalves,24,Left Winger,1.73,30000.0,2,0,37,23,5,8,1,1,41,15,14,5,0,0,51,20,15,10,1,0
antonio-silva,19,Centre-Back,1.87,25000.0,3,0,18,1,0,3,0,0,32,4,1,4,0,0,46,5,0,7,0,0
goncalo-guedes,26,Second Striker,1.79,28000.0,32,7,34,7,7,3,0,1,42,13,6,3,0,0,33,4,1,2,0,0
otavio,28,Attacking Midfield,1.72,30000.0,12,3,42,5,12,4,0,0,49,5,14,13,0,0,44,7,13,12,1,0
goncalo-inacio,21,Centre-Back,1.85,25000.0,2,0,25,2,2,3,1,0,45,5,3,2,0,0,52,4,3,6,0,0
marcus-edwards,24,Right Winger,1.68,25000.0,8,2,36,3,3,0,0,0,39,11,7,2,1,0,51,12,14,5,0,0
manuel-ugarte,22,Defensive Midfield,1.82,25000.0,8,0,20,1,2,4,0,1,39,1,2,6,0,0,47,0,1,16,1,0
alejandro-grimaldo,27,Left-Back,1.71,25000.0,2,0,43,2,10,5,0,0,48,6,9,6,0,0,54,8,16,6,0,0
evanilson,23,Centre-Forward,1.83,22000.0,2,0,29,10,0,3,0,0,46,21,5,6,1,0,41,10,9,3,0,0
rafa,30,Second Striker,1.72,23000.0,25,0,45,9,10,4,0,0,45,12,18,6,0,0,47,14,12,8,0,0
pepe,26,Left Winger,1.75,22000.0,6,3,5,1,1,0,0,0,42,6,6,3,0,0,55,5,10,6,1,0
ricardo-horta,28,Left Winger,1.73,20000.0,9,2,48,15,8,3,0,0,49,23,10,6,0,0,45,17,10,5,0,0
david-neres,26,Right Winger,1.76,22000.0,7,1,39,8,5,4,0,0,22,4,2,1,0,0,48,12,15,5,0,0
florentino,23,Defensive Midfield,1.84,20000.0,12,0,11,0,0,1,0,0,24,0,2,2,0,0,54,0,3,8,0,0
galeno,25,Left Winger,1.79,20000.0,0,0,50,7,11,5,0,0,42,11,3,5,0,0,52,15,9,6,0,0
mehdi-taremi,30,Centre-Forward,1.85,20000.0,65,30,48,23,18,4,1,1,48,26,17,6,0,1,51,31,14,9,1,0
al-musrati,27,Defensive Midfield,1.89,16000.0,40,2,44,4,3,11,0,0,46,2,2,13,0,0,41,5,2,9,0,0
david-carmo,23,Centre-Back,1.96,16000.0,0,0,21,0,0,8,0,2,20,1,0,6,0,0,18,0,0,4,0,0
joao-mario,23,Right-Back,1.78,16000.0,15,1,25,3,3,3,0,0,39,0,4,4,0,0,33,1,8,7,0,1
odysseas-vlachodimos,29,Goalkeeper,1.91,16000.0,31,0,26,0,0,0,0,27,48,0,3,0,0,51,54,0,3,0,0,39
fredrik-aursnes,27,Defensive Midfield,1.79,16000.0,12,0,32,1,9,6,0,0,50,1,4,8,0,0,44,3,5,5,0,0
trincao,23,Right Winger,1.84,15000.0,7,0,42,3,2,3,0,0,30,3,1,0,0,0,52,14,4,2,0,0
morato,21,Centre-Back,1.92,15000.0,0,0,32,4,1,2,1,0,28,1,0,1,0,0,21,1,0,4,1,0
diogo-costa,23,Goalkeeper,1.86,45000.0,11,0,12,0,1,0,0,17,43,0,2,0,0,38,41,0,1,0,0,30
goncalo-guedes,26,Second Striker,1.79,28000.0,32,7,34,7,7,3,0,1,42,13,6,3,0,0,33,4,1,2,0,0
goncalo-inacio,21,Centre-Back,1.85,25000.0,2,0,25,2,2,3,1,0,45,5,3,2,0,0,52,4,3,6,0,0
gabriel-veron,20,Right Winger,1.76,12000.0,0,0,20,1,2,2,1,0,35,2,6,1,0,0,27,1,5,1,0,0
jerry-st-juste,26,Centre-Back,1.86,13000.0,9,1,34,0,1,4,0,0,9,1,0,0,0,0,32,1,1,4,0,0
joao-mario,30,Central Midfield,1.79,14000.0,56,3,34,2,2,4,0,0,45,4,7,7,0,0,51,23,15,6,1,0
hidemasa-morita,28,Defensive Midfield,1.77,10000.0,23,2,21,2,2,1,0,0,38,2,1,5,1,0,41,6,4,7,0,0
nuno-santos,28,Left Winger,1.77,12000.0,2,0,37,8,10,5,0,0,50,10,10,5,0,0,50,9,9,7,0,0
stephen-eustaquio,26,Central Midfield,1.77,10000.0,30,3,35,2,1,7,0,1,33,1,1,4,0,1,44,7,6,5,1,0
mateus-uribe,32,Central Midfield,1.82,10000.0,45,5,46,5,3,8,1,1,38,4,2,10,0,1,51,5,2,15,1,0
andreas-schjelderup,19,Left Winger,1.76,9000.0,6,2,27,11,4,0,0,0,23,4,1,2,0,0,24,11,1,2,0,0
zaidu,25,Left-Back,1.82,10000.0,11,0,41,2,1,3,1,0,40,3,0,4,0,0,31,1,0,3,0,0
fran-navarro,25,Centre-Forward,1.79,8000.0,6,1,22,11,1,2,0,0,35,16,0,5,0,0,43,21,3,5,0,0
marko-gruji%C4%87,27,Defensive Midfield,1.91,9000.0,21,0,41,3,0,7,1,0,36,1,2,6,1,0,39,1,1,10,0,0
lucas-verissimo,27,Centre-Back,1.88,8000.0,2,0,17,2,0,4,0,0,18,3,2,6,1,0,8,0,0,0,0,0
julian-draxler,29,Left Winger,1.85,8000.0,58,7,34,4,7,4,0,0,24,2,2,1,0,0,18,2,0,0,0,0
alexander-bah,25,Right-Back,1.83,8000.0,8,1,39,5,7,8,0,0,42,6,12,7,0,0,42,1,7,2,0,1
hector-bellerin,28,Right-Back,1.78,8000.0,4,0,35,1,4,8,0,0,32,0,5,2,0,1,20,1,0,1,0,0
matheus-reis,28,Left-Back,1.84,8000.0,0,0,17,0,0,2,0,0,44,2,2,6,1,0,51,1,0,8,0,0
paulinho,30,Centre-Forward,1.87,8000.0,3,2,38,13,6,4,0,0,46,14,8,14,0,0,38,15,12,4,1,0
simon-banza,26,Centre-Forward,1.89,7000.0,0,0,35,5,2,5,1,0,37,18,7,7,0,1,47,14,10,6,1,0
abel-ruiz,23,Centre-Forward,1.82,8000.0,20,10,39,11,6,2,0,0,43,5,3,2,0,1,51,12,7,7,0,0
toni-martinez,25,Centre-Forward,1.87,7000.0,2,0,29,9,0,2,0,0,37,7,0,1,1,0,50,13,7,2,0,0
matheus,31,Goalkeeper,1.9,6000.0,0,0,45,0,2,0,0,52,45,0,4,0,0,43,45,0,5,0,1,49
uro-scaron-ra%C4%8Di%C4%87,25,Defensive Midfield,1.93,6500.0,10,0,35,2,1,6,0,0,34,0,1,4,1,0,38,4,0,6,0,0
sebastian-coates,32,Centre-Back,1.96,6000.0,51,2,40,7,0,8,0,1,41,5,1,10,1,0,44,3,0,10,0,0
iuri-medeiros,28,Right Winger,1.74,6000.0,0,0,28,6,5,2,0,0,39,10,13,1,1,0,43,10,6,5,0,0
gilberto,30,Right-Back,1.81,6000.0,4,0,36,0,3,5,0,0,35,4,3,7,0,0,35,4,3,3,0,0
goncalo-guedes,26,Second Striker,1.79,28000.0,32,7,34,7,7,3,0,1,42,13,6,3,0,0,33,4,1,2,0,0
goncalo-inacio,21,Centre-Back,1.85,25000.0,2,0,25,2,2,3,1,0,45,5,3,2,0,0,52,4,3,6,0,0
diogo-costa,23,Goalkeeper,1.86,45000.0,11,0,12,0,1,0,0,17,43,0,2,0,0,38,41,0,1,0,0,30
casper-tengstedt,23,Centre-Forward,1.84,6000.0,5,1,40,10,4,3,0,0,42,30,15,3,0,0,11,0,1,1,0,0
chiquinho,27,Attacking Midfield,1.75,6000.0,0,0,27,4,1,4,0,0,28,4,3,3,0,0,44,2,3,4,0,0
andre-amaro,20,Centre-Back,1.88,5000.0,1,0,12,1,0,2,0,0,9,0,0,3,0,0,32,1,1,13,1,0
petar-musa,25,Centre-Forward,1.9,5000.0,2,0,35,5,3,5,0,0,35,12,4,10,1,0,41,11,2,3,0,0
daniel-braganca,24,Central Midfield,1.69,5000.0,13,0,25,0,1,1,0,0,36,2,0,5,0,1,0,0,0,0,0,0
wendell,29,Left-Back,1.76,5000.0,0,0,30,0,2,4,0,0,28,1,1,8,0,1,44,2,5,7,0,1
ibrahima-bamba,21,Centre-Back,1.85,5000.0,0,0,9,0,0,3,0,0,7,0,0,2,0,0,35,0,0,13,1,0
andre-horta,26,Central Midfield,1.75,5000.0,9,3,36,1,3,4,0,0,43,1,3,3,0,2,50,1,8,8,0,0
fabio-cardoso,29,Centre-Back,1.87,4000.0,0,0,32,3,2,11,1,0,21,0,0,3,0,0,30,3,0,6,0,0
luiz-junior,22,Goalkeeper,1.92,4000.0,0,0,30,0,1,0,0,31,37,0,3,0,0,50,42,0,3,0,0,55
tormena,27,Centre-Back,1.92,4000.0,0,0,41,3,2,2,0,0,36,0,0,6,0,1,40,1,1,9,0,2
bruno-varela,28,Goalkeeper,1.91,4000.0,0,0,33,0,2,0,0,42,29,0,4,0,0,37,32,0,5,0,0,28
ousmane-diomande,19,Centre-Back,1.9,4000.0,0,0,0,0,0,0,0,0,18,2,0,4,0,0,34,2,1,10,0,0
arthur-gomes,24,Left Winger,1.74,4000.0,0,0,24,2,1,2,0,0,27,1,4,3,1,0,42,5,5,1,0,0
victor-gomez,23,Right-Back,1.69,4000.0,6,1,38,1,4,8,0,0,37,0,5,8,1,0,39,0,7,3,0,0
reggie-cannon,24,Right-Back,1.8,4000.0,28,1,33,0,1,2,0,0,23,0,0,6,0,1,33,0,0,9,2,0
mihailo-risti%C4%87,27,Left-Back,1.8,3500.0,8,0,37,0,2,5,0,0,31,2,3,3,0,1,10,1,1,1,0,0
bruma,28,Left Winger,1.73,3600.0,9,1,37,9,5,6,0,0,46,10,4,2,0,0,26,4,7,4,0,0
ricardo-esgaio,30,Right-Back,1.72,3500.0,1,0,48,3,7,14,1,0,44,0,8,10,0,0,38,1,3,9,1,0
andre-franco,25,Attacking Midfield,1.77,3500.0,0,0,24,2,6,2,0,0,38,11,4,7,0,1,25,3,3,2,0,0
jovane,24,Left Winger,1.74,3500.0,5,1,28,8,5,3,0,0,21,4,1,2,0,0,10,0,1,1,0,0
paulo-oliveira,31,Centre-Back,1.87,3500.0,1,0,31,0,1,4,0,0,43,2,0,8,0,0,36,1,1,7,1,0
santiago-colombatto,26,Defensive Midfield,1.8,3000.0,4,0,29,4,1,10,0,0,35,3,2,8,0,1,43,5,7,13,0,0
francisco-moura,23,Left-Back,1.81,3000.0,10,0,8,2,0,0,0,0,42,2,1,9,1,0,37,2,4,9,0,0
rodrigo-ribeiro,18,Centre-Forward,1.85,3000.0,6,0,0,0,0,0,0,0,17,3,0,0,0,0,34,12,2,2,0,0
diogo-costa,23,Goalkeeper,1.86,45000.0,11,0,12,0,1,0,0,17,43,0,2,0,0,38,41,0,1,0,0,30
goncalo-guedes,26,Second Striker,1.79,28000.0,32,7,34,7,7,3,0,1,42,13,6,3,0,0,33,4,1,2,0,0
goncalo-inacio,21,Centre-Back,1.85,25000.0,2,0,25,2,2,3,1,0,45,5,3,2,0,0,52,4,3,6,0,0
jurrien-timber,21,Centre-Back,1.82,42000.0,15,0,34,1,0,1,0,0,43,3,2,3,0,0,47,2,2,6,0,0
orkun-kokcu,22,Central Midfield,1.75,30000.0,20,2,31,4,3,2,0,1,51,9,9,10,0,0,46,12,5,9,0,0
ibrahim-sangare,25,Defensive Midfield,1.91,35000.0,24,5,41,1,2,12,0,0,49,4,4,6,2,0,45,8,3,7,0,0
edson-alvarez,25,Defensive Midfield,1.87,35000.0,62,3,39,2,2,6,0,2,41,5,1,9,0,0,44,4,3,16,1,0
david-hancko,25,Centre-Back,1.88,20000.0,27,2,28,7,2,1,0,0,44,10,7,5,0,0,50,4,5,4,0,0
xavi-simons,20,Attacking Midfield,1.79,30000.0,3,0,2,0,0,0,0,0,16,4,7,4,0,0,48,22,12,6,0,0
mohammed-kudus,22,Attacking Midfield,1.77,30000.0,21,7,22,4,3,3,0,0,25,6,1,0,0,0,42,18,6,4,0,0
steven-bergwijn,25,Left Winger,1.78,24000.0,28,7,35,1,7,3,0,0,32,4,2,2,0,0,45,16,7,2,0,0
calvin-bassey,23,Centre-Back,1.85,18000.0,9,0,15,1,0,3,0,0,50,0,6,8,0,0,39,1,5,1,0,1
jesper-karlsson,24,Left Winger,1.79,16000.0,9,0,39,12,9,1,0,1,51,21,16,5,0,0,33,13,8,5,0,0
lutsharel-geertruida,22,Right-Back,1.84,18000.0,1,0,37,8,2,1,0,0,43,4,1,5,0,0,41,3,3,2,0,0
sebastian-szymanski,24,Attacking Midfield,1.74,14000.0,22,1,31,1,7,10,1,0,32,6,9,6,0,0,40,10,7,4,0,0
joey-veerman,24,Central Midfield,1.85,14000.0,0,0,35,9,11,4,0,0,44,10,14,2,0,0,50,9,14,2,0,0
kenneth-taylor,21,Central Midfield,1.82,14000.0,9,0,32,7,4,5,0,1,30,9,6,0,0,0,44,9,4,8,1,0
steven-berghuis,31,Attacking Midfield,1.82,14000.0,45,2,41,21,16,7,1,1,46,12,14,1,0,0,42,11,11,9,0,0
brian-brobbey,21,Centre-Forward,1.8,13000.0,13,8,36,15,6,4,0,0,28,8,4,1,0,0,45,14,4,1,0,0
fabio-silva,20,Centre-Forward,1.85,13000.0,12,6,37,6,3,2,0,0,28,1,3,2,0,0,51,16,6,9,0,0
justin-bijlow,25,Goalkeeper,1.88,13000.0,6,0,19,0,1,0,0,24,35,0,0,0,1,33,34,0,1,0,0,33
walter-benitez,30,Goalkeeper,1.91,12000.0,0,0,45,0,3,0,0,71,37,0,2,0,0,35,42,0,2,0,0,50
davy-klaassen,30,Attacking Midfield,1.79,12000.0,41,10,50,16,5,5,0,0,44,11,4,4,0,0,46,10,3,5,0,0
owen-wijndal,23,Left-Back,1.76,10000.0,11,0,43,2,6,7,0,0,43,1,12,8,0,0,28,0,5,3,0,0
vangelis-pavlidis,24,Centre-Forward,1.86,12000.0,29,6,37,14,5,5,0,0,51,25,7,8,0,0,40,22,14,6,0,0
geronimo-rulli,31,Goalkeeper,1.89,10000.0,4,0,20,0,0,0,1,15,46,0,4,0,0,46,39,0,3,0,0,35
milos-kerkez,19,Left-Back,1.8,10000.0,6,0,31,0,3,3,1,0,33,0,3,4,0,0,52,5,7,9,0,0
ricardo-pepi,20,Centre-Forward,1.85,9000.0,13,5,31,13,2,1,0,0,11,0,0,0,0,0,36,13,3,2,0,0
sem-westerveld,20,Goalkeeper,1.9,500,0,0,5,0,0,0,0,7,23,0,2,0,0,30,13,0,1,0,0,17
jorrel-hato,17,Centre-Back,1.82,2500.0,3,0,0,0,0,0,0,0,21,1,1,0,0,0,44,2,1,2,0,0
kian-fitz-jim,19,Central Midfield,1.74,1300.0,1,0,26,1,2,3,1,0,34,0,3,7,0,0,34,3,6,5,0,0
thorgan-hazard,30,Left Winger,1.75,9000.0,47,9,28,4,6,1,0,0,30,6,1,2,0,0,34,3,1,3,0,0
johan-bakayoko,20,Right Winger,1.79,9000.0,3,0,23,5,5,2,0,0,36,17,12,2,0,0,39,9,6,4,0,0
quinten-timber,21,Central Midfield,1.77,8500.0,11,1,13,0,1,0,0,0,33,2,4,4,0,0,31,3,3,4,0,0
anwar-el-ghazi,28,Right Winger,1.89,8000.0,2,0,31,11,0,2,0,0,14,3,3,2,0,0,32,10,3,3,1,0
florian-grillitsch,27,Defensive Midfield,1.87,8000.0,35,1,34,4,2,5,1,0,18,0,0,7,0,0,18,0,0,2,0,0
santiago-gimenez,22,Centre-Forward,1.82,9000.0,10,2,44,6,8,7,0,0,43,9,2,7,1,0,50,28,3,4,0,1
devyne-rensch,20,Right-Back,1.79,8000.0,6,0,38,6,4,5,0,0,34,1,2,3,1,0,36,3,1,5,0,1
olivier-boscagli,25,Centre-Back,1.81,8000.0,5,0,42,2,2,1,0,0,46,4,0,7,1,0,8,1,1,0,0,0
francisco-conceicao,20,Right Winger,1.7,8000.0,16,3,37,4,5,5,0,0,33,3,4,4,0,0,35,6,3,5,0,0
kacper-kozlowski,19,Central Midfield,1.82,8000.0,8,2,25,3,4,5,0,0,28,3,5,2,0,0,31,3,5,4,0,0
mats-wieffer,23,Defensive Midfield,1.88,7000.0,1,0,35,1,6,9,0,1,42,5,9,8,0,0,37,3,7,9,0,0
tijjani-reijnders,24,Central Midfield,1.85,8000.0,0,0,30,2,0,1,0,0,47,6,2,3,0,0,54,8,11,6,0,0
guus-til,25,Attacking Midfield,1.86,7000.0,5,1,14,4,0,1,0,0,49,21,5,6,0,1,46,13,5,5,0,0
ramiz-zerrouki,25,Defensive Midfield,1.83,7000.0,21,1,32,0,2,5,0,0,34,4,1,9,1,0,40,2,5,8,0,0
jarrad-branthwaite,20,Centre-Back,1.95,7000.0,0,0,14,0,0,0,0,0,12,1,0,1,0,1,37,4,2,2,0,0
erick-gutierrez,27,Central Midfield,1.76,7000.0,36,1,10,0,0,2,0,0,39,2,4,7,0,0,44,5,3,7,0,0
dusan-tadi%C4%87,34,Left Winger,1.81,7000.0,96,21,51,22,25,2,0,0,45,16,22,2,0,0,47,13,21,6,1,0
marcus-pedersen,22,Right-Back,1.84,6500.0,18,0,17,1,5,3,0,0,47,0,5,3,0,0,40,1,2,5,0,0
djordje-mihailovic,24,Attacking Midfield,1.78,6000.0,6,1,35,4,14,4,0,0,33,12,7,7,0,0,20,1,1,2,0,0
quilindschy-hartman,21,Left-Back,1.83,6500.0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,35,2,5,6,0,0
jorrel-hato,17,Centre-Back,1.82,2500.0,3,0,0,0,0,0,0,0,21,1,1,0,0,0,44,2,1,2,0,0
taylor-booth,22,Central Midfield,1.74,6000.0,1,0,19,3,2,3,0,0,25,3,6,4,0,0,31,2,4,5,0,0
jens-odgaard,24,Right Winger,1.88,6000.0,5,2,25,1,2,2,0,0,33,11,6,3,0,0,45,12,6,3,0,0
yukinari-sugawara,22,Right-Back,1.79,6000.0,3,0,36,3,1,2,0,0,50,1,7,6,0,0,47,4,11,6,0,0
igor-paixao,22,Left Winger,1.68,6000.0,0,0,43,8,5,7,0,0,37,11,8,5,0,0,37,9,6,2,0,0
jordan-teze,23,Right-Back,1.83,6000.0,3,0,45,0,1,5,0,0,48,1,4,8,0,0,43,0,5,4,0,0
sem-westerveld,20,Goalkeeper,1.9,500,0,0,5,0,0,0,0,7,23,0,2,0,0,30,13,0,1,0,0,17
kian-fitz-jim,19,Central Midfield,1.74,1300.0,1,0,26,1,2,3,1,0,34,0,3,7,0,0,34,3,6,5,0,0
tasos-douvikas,23,Centre-Forward,1.86,6000.0,15,1,34,14,4,4,0,0,37,10,3,1,0,0,38,22,4,2,0,0
mauro-junior,24,Left-Back,1.71,6000.0,3,0,28,3,1,2,0,0,40,2,7,5,0,0,11,0,0,0,0,2
savio,19,Right Winger,1.76,6000.0,0,0,13,0,0,0,0,0,14,2,0,1,0,0,17,2,4,2,0,0
lorenzo-lucca,22,Centre-Forward,2.01,6000.0,6,2,27,13,0,5,0,1,35,6,4,7,1,1,30,8,4,4,0,0
javairo-dilrosun,24,Right Winger,1.75,6000.0,1,0,13,0,2,0,0,0,37,3,8,3,0,0,43,6,8,2,0,0
ahmetcan-kaplan,20,Centre-Back,1.89,5000.0,2,0,16,0,2,4,0,1,22,2,1,3,0,0,0,0,0,0,0,0
jorge-sanchez,25,Right-Back,1.75,6000.0,28,1,40,1,3,9,0,0,32,0,1,3,0,0,29,3,3,7,0,0
zinho-vanheusden,23,Centre-Back,1.87,6000.0,1,0,17,0,0,1,0,0,16,0,0,3,0,0,8,0,0,1,0,0
andries-noppert,29,Goalkeeper,2.03,5000.0,5,0,0,0,0,0,0,0,20,0,0,0,0,22,20,0,1,0,0,22
milan-van-ewijk,22,Right-Back,1.75,5000.0,4,0,34,1,3,5,0,0,38,1,1,5,0,0,40,6,3,3,0,0
danilo,24,Centre-Forward,1.74,5000.0,1,0,34,17,5,3,0,1,26,15,5,0,0,0,48,14,4,0,0,0
gernot-trauner,31,Centre-Back,1.83,5000.0,10,1,41,5,5,9,1,1,47,0,2,3,0,0,31,0,0,4,0,0
ezequiel-bullaude,22,Attacking Midfield,1.84,4500.0,0,0,34,10,3,1,0,0,30,6,5,5,0,0,18,5,3,0,0,0
mees-hilgers,22,Centre-Back,1.85,4500.0,1,0,8,2,0,1,1,0,26,1,1,1,0,0,34,1,0,5,0,0
patrik-walemark,21,Right Winger,1.84,4500.0,0,0,30,9,8,3,0,0,18,1,0,2,1,0,21,2,3,3,0,0
mads-bech-sorensen,24,Centre-Back,1.93,4000.0,0,0,39,3,0,2,0,0,15,0,0,3,0,0,17,1,0,2,0,0
dani-de-wit,25,Attacking Midfield,1.84,4000.0,17,11,27,5,4,5,0,0,51,11,6,8,0,0,32,13,2,6,0,1
gijs-smal,25,Left-Back,1.83,4000.0,0,0,23,0,3,1,0,0,27,2,3,1,0,0,43,2,12,4,0,0
armando-obispo,24,Centre-Back,1.85,4500.0,1,0,9,0,1,0,0,0,28,1,0,5,0,0,33,3,2,4,0,1
can-bozdogan,22,Central Midfield,1.74,4000.0,1,0,17,0,2,0,0,0,28,1,1,4,0,0,29,1,6,4,0,0
mathew-ryan,31,Goalkeeper,1.84,4000.0,79,0,14,0,1,0,0,21,9,0,0,0,0,14,36,0,2,0,0,39
oussama-idrissi,27,Left Winger,1.83,4000.0,7,0,26,0,2,2,0,0,20,1,2,3,0,0,38,7,8,7,0,0
jorrel-hato,17,Centre-Back,1.82,2500.0,3,0,0,0,0,0,0,0,21,1,1,0,0,0,44,2,1,2,0,0
vaclav-cerny,25,Right Winger,1.82,4000.0,9,2,17,6,7,2,0,0,20,1,1,1,0,0,40,15,13,2,0,1
luuk-de-jong,32,Centre-Forward,1.88,4000.0,39,8,48,9,1,3,0,1,29,7,1,1,0,0,39,18,10,5,0,0
michal-sadilek,24,Central Midfield,1.69,4000.0,14,0,34,6,3,9,0,0,32,1,2,7,0,1,21,2,3,6,0,0
kian-fitz-jim,19,Central Midfield,1.74,1300.0,1,0,26,1,2,3,1,0,34,0,3,7,0,0,34,3,6,5,0,0
sem-westerveld,20,Goalkeeper,1.9,500,0,0,5,0,0,0,0,7,23,0,2,0,0,30,13,0,1,0,0,17
nicolo-zaniolo,23,Attacking Midfield,1.9,27000.0,11,2,0,0,0,0,0,0,42,8,9,14,1,1,28,7,4,7,0,2
lucas-torreira,27,Defensive Midfield,1.66,15000.0,40,0,26,1,1,3,0,0,35,5,2,10,1,0,34,0,1,6,0,0
victor-nelsson,24,Centre-Back,1.85,18000.0,10,0,30,1,0,7,0,1,49,1,1,8,0,0,35,1,1,5,0,0
mauro-icardi,30,Centre-Forward,1.81,19000.0,8,1,28,13,6,2,0,0,30,5,0,1,0,0,26,23,8,3,0,0
ferdi-kadioglu,23,Right-Back,1.74,17000.0,9,0,30,1,4,3,0,0,38,3,3,6,0,0,47,4,5,6,0,0
kerem-akturkoglu,24,Left Winger,1.73,15000.0,19,4,29,6,3,1,0,0,52,13,13,6,0,0,38,10,14,3,0,0
attila-szalai,25,Centre-Back,1.92,14000.0,33,1,41,6,3,6,0,0,43,1,2,8,0,0,51,3,2,6,0,0
ugurcan-cakir,27,Goalkeeper,1.91,12000.0,22,0,39,0,2,0,0,37,43,0,6,1,0,46,44,0,4,0,0,62
diego-rossi,25,Left Winger,1.7,9500.0,5,1,19,6,1,2,0,0,39,6,9,2,0,0,50,4,11,1,0,0
altay-bayindir,25,Goalkeeper,1.98,11000.0,5,0,35,0,2,0,1,31,31,0,2,0,0,34,40,0,3,0,0,45
sacha-boey,22,Right-Back,1.78,16000.0,0,0,26,0,1,1,0,1,19,1,0,4,0,0,33,1,4,8,0,1
yusuf-yazici,26,Attacking Midfield,1.84,9000.0,39,2,42,14,5,2,0,0,34,9,3,6,0,0,24,6,2,2,0,1
dele-alli,27,Attacking Midfield,1.88,8000.0,37,3,29,3,5,3,0,0,29,2,1,5,0,0,17,3,0,0,0,0
miguel-crespo,26,Central Midfield,1.86,8000.0,0,0,38,6,4,10,1,0,30,3,3,9,1,0,37,3,4,4,1,0
mahmoud-trezeguet,28,Left Winger,1.79,11000.0,59,9,22,2,2,0,0,0,15,7,4,1,0,0,41,13,10,6,0,0
arda-guler,18,Attacking Midfield,1.76,15000.0,2,0,22,10,7,3,0,0,24,7,11,1,0,0,34,6,6,2,0,0
anastasios-bakasetas,29,Attacking Midfield,1.81,10000.0,55,11,41,13,6,9,0,0,43,9,8,8,0,0,41,13,11,12,0,1
gedson-fernandes,24,Central Midfield,1.83,12000.0,2,0,20,1,3,2,0,0,15,3,3,4,0,0,36,3,7,7,0,0
nathan-redmond,29,Right Winger,1.73,10000.0,1,0,33,4,4,1,0,0,32,3,6,0,0,0,29,6,6,5,0,0
michy-batshuayi,29,Centre-Forward,1.85,10000.0,50,27,20,2,2,0,0,0,42,14,5,7,0,0,31,18,2,4,1,0
abdulkadir-omur,23,Attacking Midfield,1.68,8000.0,10,0,23,2,3,0,0,0,38,7,4,1,0,0,41,3,4,2,0,0
maxi-gomez,26,Centre-Forward,1.86,7000.0,31,4,31,7,5,6,0,1,32,5,2,7,1,1,37,7,6,4,0,1
deniz-ertas,0,0,0.0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,10,11,0,0,0,1,13
yunus-akgun,22,Right Winger,1.73,7000.0,5,1,32,7,3,3,0,0,39,9,17,5,0,0,28,1,4,1,0,0
